id,date,count
1,1/05,22
1,1/06,22
1,1/07,24
1,1/08,42
1,1/09,45
1,1/10,55
1,1/11,70
1,1/12,95
1,1/13,100
1,1/14,103
1,1/15,100
1,1/16,101
1,1/17,100
1,1/18,100
1,1/19,100
1,1/20,100
1,1/21,99
1,1/22,95
1,1/23,91
1,1/24,90
2,1/05,47
2,1/06,60
2,1/07,60
2,1/08,85
2,1/09,109
2,1/10,116
2,1/11,133
2,1/12,175
2,1/13,188
2,1/14,162
2,1/15,135
2,1/16,116
2,1/17,111
2,1/18,109
2,1/19,104
2,1/20,93
2,1/21,83
2,1/22,74
2,1/23,69
2,1/24,66
3,1/05,27
3,1/06,30
3,1/07,31
3,1/08,43
3,1/09,49
3,1/10,56
3,1/11,56
3,1/12,73
3,1/13,84
3,1/14,75
3,1/15,71
3,1/16,65
3,1/17,66
3,1/18,65
3,1/19,63
3,1/20,58
3,1/21,55
3,1/22,52
3,1/23,50
3,1/24,49
4,1/05,37
4,1/06,42
4,1/07,44
4,1/08,54
4,1/09,65
4,1/10,72
4,1/11,86
4,1/12,152
4,1/13,185
4,1/14,177
4,1/15,164
4,1/16,158
4,1/17,158
4,1/18,159
4,1/19,157
4,1/20,153
4,1/21,144
4,1/22,131
4,1/23,121
4,1/24,118
5,1/05,27
5,1/06,32
5,1/07,36
5,1/08,45
5,1/09,56
5,1/10,75
5,1/11,84
5,1/12,101
5,1/13,121
5,1/14,144
5,1/15,134
5,1/16,141
5,1/17,139
5,1/18,136
5,1/19,134
5,1/20,131
5,1/21,128
5,1/22,117
5,1/23,107
5,1/24,103
6,1/05,1
6,1/06,1
6,1/07,0
6,1/08,0
6,1/09,0
6,1/10,0
6,1/11,0
6,1/12,0
6,1/13,0
6,1/14,0
6,1/15,0
6,1/16,0
6,1/17,0
6,1/18,0
6,1/19,0
6,1/20,0
6,1/21,0
6,1/22,0
6,1/23,0
6,1/24,0
7,1/05,4
7,1/06,5
7,1/07,5
7,1/08,5
7,1/09,7
7,1/10,8
7,1/11,8
7,1/12,12
7,1/13,11
7,1/14,15
7,1/15,10
7,1/16,9
7,1/17,9
7,1/18,8
7,1/19,8
7,1/20,8
7,1/21,7
7,1/22,7
7,1/23,6
7,1/24,4
8,1/05,18
8,1/06,18
8,1/07,19
8,1/08,22
8,1/09,25
8,1/10,25
8,1/11,29
8,1/12,37
8,1/13,50
8,1/14,52
8,1/15,55
8,1/16,65
8,1/17,55
8,1/18,56
8,1/19,54
8,1/20,50
8,1/21,45
8,1/22,43
8,1/23,44
8,1/24,43
9,1/05,24
9,1/06,30
9,1/07,29
9,1/08,33
9,1/09,38
9,1/10,38
9,1/11,41
9,1/12,54
9,1/13,63
9,1/14,67
9,1/15,74
9,1/16,72
9,1/17,65
9,1/18,65
9,1/19,63
9,1/20,59
9,1/21,58
9,1/22,52
9,1/23,51
9,1/24,49
10,1/05,17
10,1/06,16
10,1/07,16
10,1/08,31
10,1/09,35
10,1/10,45
10,1/11,49
10,1/12,77
10,1/13,70
10,1/14,65
10,1/15,55
10,1/16,40
10,1/17,34
10,1/18,30
10,1/19,28
10,1/20,25
10,1/21,24
10,1/22,23
10,1/23,18
10,1/24,18
11,1/05,11
11,1/06,11
11,1/07,11
11,1/08,18
11,1/09,19
11,1/10,18
11,1/11,21
11,1/12,25
11,1/13,27
11,1/14,29
11,1/15,28
11,1/16,27
11,1/17,24
11,1/18,21
11,1/19,20
11,1/20,15
11,1/21,13
11,1/22,12
11,1/23,12
11,1/24,12
12,1/05,8
12,1/06,8
12,1/07,7
12,1/08,13
12,1/09,14
12,1/10,16
12,1/11,19
12,1/12,18
12,1/13,17
12,1/14,18
12,1/15,19
12,1/16,17
12,1/17,18
12,1/18,17
12,1/19,17
12,1/20,16
12,1/21,14
12,1/22,13
12,1/23,13
12,1/24,13
13,1/05,1
13,1/06,1
13,1/07,1
13,1/08,0
13,1/09,0
13,1/10,0
13,1/11,0
13,1/12,0
13,1/13,0
13,1/14,0
13,1/15,0
13,1/16,0
13,1/17,0
13,1/18,0
13,1/19,0
13,1/20,0
13,1/21,0
13,1/22,0
13,1/23,0
13,1/24,0
14,1/05,3
14,1/06,4
14,1/07,6
14,1/08,8
14,1/09,8
14,1/10,7
14,1/11,7
14,1/12,9
14,1/13,9
14,1/14,13
14,1/15,13
14,1/16,9
14,1/17,10
14,1/18,11
14,1/19,11
14,1/20,11
14,1/21,9
14,1/22,8
14,1/23,8
14,1/24,8
15,1/05,4
15,1/06,4
15,1/07,3
15,1/08,6
15,1/09,7
15,1/10,8
15,1/11,8
15,1/12,16
15,1/13,18
15,1/14,20
15,1/15,19
15,1/16,18
15,1/17,20
15,1/18,19
15,1/19,18
15,1/20,17
15,1/21,13
15,1/22,12
15,1/23,11
15,1/24,11
16,1/05,8
16,1/06,10
16,1/07,11
16,1/08,13
16,1/09,14
16,1/10,13
16,1/11,16
16,1/12,25
16,1/13,22
16,1/14,20
16,1/15,21
16,1/16,22
16,1/17,19
16,1/18,17
16,1/19,17
16,1/20,16
16,1/21,17
16,1/22,15
16,1/23,15
16,1/24,15
17,1/05,5
17,1/06,5
17,1/07,5
17,1/08,5
17,1/09,7
17,1/10,9
17,1/11,8
17,1/12,11
17,1/13,13
17,1/14,16
17,1/15,16
17,1/16,16
17,1/17,16
17,1/18,15
17,1/19,14
17,1/20,14
17,1/21,14
17,1/22,14
17,1/23,14
17,1/24,13
18,1/05,24
18,1/06,23
18,1/07,24
18,1/08,27
18,1/09,30
18,1/10,38
18,1/11,47
18,1/12,65
18,1/13,65
18,1/14,56
18,1/15,45
18,1/16,42
18,1/17,41
18,1/18,41
18,1/19,31
18,1/20,23
18,1/21,17
18,1/22,15
18,1/23,14
18,1/24,13
19,1/05,23
19,1/06,26
19,1/07,29
19,1/08,28
19,1/09,28
19,1/10,34
19,1/11,35
19,1/12,50
19,1/13,53
19,1/14,41
19,1/15,34
19,1/16,32
19,1/17,31
19,1/18,31
19,1/19,29
19,1/20,22
19,1/21,19
19,1/22,16
19,1/23,16
19,1/24,16
20,1/05,3
20,1/06,3
20,1/07,4
20,1/08,6
20,1/09,8
20,1/10,9
20,1/11,10
20,1/12,15
20,1/13,21
20,1/14,27
20,1/15,32
20,1/16,26
20,1/17,24
20,1/18,23
20,1/19,22
20,1/20,23
20,1/21,20
20,1/22,18
20,1/23,16
20,1/24,16
21,1/05,4
21,1/06,4
21,1/07,6
21,1/08,9
21,1/09,9
21,1/10,11
21,1/11,11
21,1/12,13
21,1/13,10
21,1/14,9
21,1/15,9
21,1/16,11
21,1/17,13
21,1/18,12
21,1/19,12
21,1/20,14
21,1/21,10
21,1/22,9
21,1/23,8
21,1/24,8
22,1/05,15
22,1/06,16
22,1/07,15
22,1/08,16
22,1/09,17
22,1/10,19
22,1/11,21
22,1/12,29
22,1/13,33
22,1/14,29
22,1/15,25
22,1/16,24
22,1/17,25
22,1/18,25
22,1/19,22
22,1/20,18
22,1/21,16
22,1/22,16
22,1/23,16
22,1/24,15
23,1/05,16
23,1/06,15
23,1/07,17
23,1/08,18
23,1/09,20
23,1/10,18
23,1/11,23
23,1/12,33
23,1/13,34
23,1/14,36
23,1/15,38
23,1/16,33
23,1/17,28
23,1/18,28
23,1/19,25
23,1/20,23
23,1/21,20
23,1/22,19
23,1/23,15
23,1/24,15
24,1/05,16
24,1/06,16
24,1/07,16
24,1/08,21
24,1/09,27
24,1/10,27
24,1/11,35
24,1/12,59
24,1/13,59
24,1/14,62
24,1/15,47
24,1/16,38
24,1/17,29
24,1/18,27
24,1/19,26
24,1/20,25
24,1/21,25
24,1/22,19
24,1/23,18
24,1/24,18
25,1/05,10
25,1/06,9
25,1/07,8
25,1/08,15
25,1/09,15
25,1/10,20
25,1/11,24
25,1/12,32
25,1/13,32
25,1/14,28
25,1/15,23
25,1/16,25
25,1/17,23
25,1/18,23
25,1/19,23
25,1/20,23
25,1/21,20
25,1/22,19
25,1/23,17
25,1/24,17
26,1/05,8
26,1/06,9
26,1/07,9
26,1/08,10
26,1/09,10
26,1/10,11
26,1/11,14
26,1/12,19
26,1/13,23
26,1/14,15
26,1/15,12
26,1/16,10
26,1/17,10
26,1/18,9
26,1/19,9
26,1/20,9
26,1/21,9
26,1/22,9
26,1/23,9
26,1/24,9
27,1/05,19
27,1/06,15
27,1/07,14
27,1/08,12
27,1/09,10
27,1/10,9
27,1/11,8
